feature,mean_abs_shap
hba1c,2.130816
Age,1.2392855
glucose_fasting,0.9547498
gender_Male,0.45128605
glucose_postprandial,0.1411489
systolic_bp,0.12385034
triglycerides,0.112180054
physical_activity_minutes_per_week,0.10792904
insulin_level,0.10128828
bmi,0.09304368
cholesterol_total,0.09163779
ldl_cholesterol,0.08495714
diet_score,0.083475456
screen_time_hours_per_day,0.082888074
hdl_cholesterol,0.08143864
diastolic_bp,0.08114128
heart_rate,0.07053568
sleep_hours_per_day,0.066878915
waist_to_hip_ratio,0.05006001
income_level_Lower-Middle,0.035531294
income_level_Middle,0.034251053
alcohol_consumption_per_week,0.033828434
family_history_diabetes,0.03357392
ethnicity_White,0.02182274
hypertension_history,0.020976087
cardiovascular_history,0.016698575
employment_status_Student,0.015933728
employment_status_Retired,0.015101218
gender_Other,0.014534608
education_level_Highschool,0.013503744
income_level_Upper-Middle,0.0104798395
smoking_status_Never,0.009718002
employment_status_Unemployed,0.008961094
education_level_Postgraduate,0.008728608
ethnicity_Black,0.008228581
smoking_status_Former,0.0082061915
income_level_Low,0.0065061455
ethnicity_Hispanic,0.006125196
ethnicity_Other,0.0058961185
education_level_No formal,0.0032623417
